epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,5494.31,1.05179,0.41772,0.00151,0.73552,0.67108,0.70403,0.4467,1.20127,0.7621,0.00498,0.000414688,0.000414688,0.000414688
56,5595.01,1.03853,0.41536,0.00144,0.74493,0.66566,0.69017,0.42874,1.21447,0.7433,0.00495,0.000399219,0.000399219,0.000399219
57,5695.13,1.03826,0.42212,0.00161,0.77683,0.68469,0.72184,0.45768,1.2345,0.72628,0.00501,0.00038375,0.00038375,0.00038375
58,5794.84,1.02986,0.41675,0.00154,0.77712,0.68563,0.70201,0.44234,1.23017,0.75238,0.00539,0.000368281,0.000368281,0.000368281
59,5894.86,1.04249,0.41372,0.00147,0.78843,0.67278,0.717,0.45,1.21674,0.74423,0.00502,0.000352812,0.000352812,0.000352812
60,5995.14,1.03864,0.41339,0.00147,0.80917,0.68192,0.71187,0.44508,1.2096,0.75597,0.00522,0.000337344,0.000337344,0.000337344
61,6095.13,1.03484,0.40639,0.00148,0.80731,0.66871,0.73237,0.46389,1.21755,0.74553,0.00545,0.000321875,0.000321875,0.000321875
62,6195.33,1.02293,0.39867,0.00145,0.82123,0.66845,0.72303,0.46829,1.20231,0.7419,0.00518,0.000306406,0.000306406,0.000306406
63,6295.97,1.01981,0.40209,0.00137,0.80403,0.66204,0.7267,0.46631,1.20572,0.74064,0.00514,0.000290937,0.000290937,0.000290937
64,6396.25,1.00421,0.38931,0.00141,0.80361,0.67043,0.72663,0.4647,1.2114,0.72161,0.00488,0.000275469,0.000275469,0.000275469
65,6496.25,1.00553,0.39482,0.00147,0.79379,0.67691,0.71459,0.45506,1.19748,0.74828,0.00506,0.00026,0.00026,0.00026
66,6596.75,1.02726,0.40048,0.00137,0.78182,0.68495,0.72034,0.45857,1.20275,0.75258,0.00503,0.000244531,0.000244531,0.000244531
67,6696.92,1.00835,0.38822,0.00138,0.7877,0.68397,0.72499,0.46546,1.18853,0.73463,0.00531,0.000229063,0.000229063,0.000229063
68,6797.34,1.00138,0.38323,0.00137,0.75088,0.67974,0.72087,0.45091,1.22592,0.74946,0.00501,0.000213594,0.000213594,0.000213594
69,6898.72,1.0109,0.385,0.00138,0.76562,0.68596,0.71844,0.44522,1.22424,0.74574,0.00492,0.000198125,0.000198125,0.000198125
70,6998.9,1.0055,0.38782,0.00139,0.79235,0.68137,0.7311,0.46742,1.19263,0.74329,0.00489,0.000182656,0.000182656,0.000182656
71,7094.22,0.95967,0.35519,0.00143,0.76483,0.64031,0.69157,0.42511,1.2243,0.77729,0.00528,0.000167188,0.000167188,0.000167188
72,7188.56,0.96717,0.36102,0.00153,0.83203,0.61882,0.70507,0.4443,1.22956,0.76544,0.00547,0.000151719,0.000151719,0.000151719
73,7283.03,0.94885,0.35335,0.00143,0.80497,0.62055,0.69348,0.43533,1.20917,0.7969,0.00508,0.00013625,0.00013625,0.00013625
74,7377.64,0.95211,0.35505,0.0015,0.78018,0.64213,0.70305,0.44177,1.20916,0.75842,0.00538,0.000120781,0.000120781,0.000120781
75,7472.42,0.94234,0.34303,0.00142,0.79852,0.6305,0.7,0.43721,1.21326,0.77032,0.00539,0.000105312,0.000105312,0.000105312
76,7566.55,0.95111,0.35172,0.00151,0.78784,0.63579,0.6949,0.43816,1.20756,0.77847,0.00521,8.98437e-05,8.98437e-05,8.98437e-05
77,7661.64,0.94733,0.34643,0.00141,0.80783,0.64105,0.70662,0.44108,1.23047,0.75622,0.00555,7.4375e-05,7.4375e-05,7.4375e-05
78,7757.09,0.93903,0.34903,0.00144,0.823,0.62292,0.71029,0.44857,1.20256,0.7521,0.00516,5.89062e-05,5.89062e-05,5.89062e-05
79,7851.6,0.94257,0.34715,0.00137,0.83827,0.61992,0.70934,0.44331,1.2192,0.75017,0.00527,4.34375e-05,4.34375e-05,4.34375e-05
80,7946.16,0.92749,0.33749,0.00138,0.81974,0.63168,0.71287,0.44387,1.2004,0.75267,0.00499,2.79687e-05,2.79687e-05,2.79687e-05
